run_dir,date_dir,scenario_guess,log_files_top_level,csv_files_recursive,png_files_recursive,avg_prr,avg_latency_ms,incident_applied_count,sionna_mentioned,in_chatgpt_exports,eva_drop_phy_total,eva_cam_drop_phy,eva_cpm_drop_phy,eva_ctrl_events_total,eva_drop_decision_match_ratio
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-27/id-aware-drop-gui,2026-02-27,v2v-emergencyVehicleAlert-nrv2x,1,49,6,0.366563,10.8683,0,0,0,11065.0,2373.0,8692.0,11091.0,1.0
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-27/id-aware-drop-smoke,2026-02-27,v2v-emergencyVehicleAlert-nrv2x,1,47,1,0.360648,10.7185,0,0,0,9335.0,1978.0,7357.0,9358.0,1.0
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-27/timeline-auto-check,2026-02-27,v2v-emergencyVehicleAlert-nrv2x,1,49,3,0.41924,10.9165,0,0,0,4631.0,1235.0,3396.0,4650.0,1.0
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/batch-main-161949/cttc-nr-v2x-demo-simple,batch-main-161949,cttc-nr-v2x-demo-simple,1,1,2,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/batch-main-161949/nr-v2x-west-to-east-highway,batch-main-161949,nr-v2x-west-to-east-highway,1,1,4,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/batch-main-161949/v2v-cam-exchange-sionna-nrv2x,batch-main-161949,v2v-cam-exchange-sionna-nrv2x,1,3,2,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/batch-main-161949/v2v-coexistence-80211p-nrv2x,batch-main-161949,v2v-coexistence-80211p-nrv2x,1,4,3,0.924245,0.49146,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-19/batch-main-161949/cttc-nr-v2x-demo-simple,batch-main-161949,cttc-nr-v2x-demo-simple,1,1,2,,,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-19/batch-main-161949/nr-v2x-west-to-east-highway,batch-main-161949,nr-v2x-west-to-east-highway,1,1,4,,,0,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-19/batch-main-161949/v2v-cam-exchange-sionna-nrv2x,batch-main-161949,v2v-cam-exchange-sionna-nrv2x,1,1,2,,,0,0,1,,,,,
